person,ok,byte_errors
Makhdoom_Amin_Fahim,1,27
Manfred_Stolpe,0,29
Manuel_Poggiali,0,31
Marat_Safin,0,31
Marc-Andre_Fleury,1,23
Marc_Grossman,1,27
Marcelo_Ebrard,0,31
Marcelo_Salas,0,29
Marcus_Gronholm,0,31
Margaret_Thatcher,0,30
Maria_Luisa_Mendonca,0,29
Mariana_Pollack,1,25
Mariangel_Ruiz_Torrealba,0,29
Marie-Reine_Le_Gougne,0,30
Marieta_Chrousala,0,30
Marilyn_Monroe,0,32
Marina_Anissina,0,31
Mario_Cipollini,1,27
Mario_Dumont,0,31
Mario_Kreutzberger,0,31
Marisa_Tomei,1,28
Marissa_Jaret_Winokur,1,27
Mark_Cuban,1,28
Mark_Dacey,1,25
Mark_Geragos,0,30
Mark_Gottfried,0,31
Mark_Hamister,1,25
Mark_Heller,0,31
Mark_Richt,0,32
Mark_Schweiker,1,26
Mark_Wahlberg,0,32
Mark_Warner,0,30
Markus_Naslund,1,27
Marlene_Weingartner,0,32
Martha_Beatriz_Roque,0,31
Martha_Bowen,0,32
Martha_Burk,0,31
Martha_Lucia_Ramirez,1,28
Martin_Brodeur,0,30
Martin_Cauchon,1,26
Martin_Hoellwarth,0,31
Martin_McCauley,1,27
Martin_Sheen,1,27
Martin_Verkerk,0,30
Martina_Hingis,0,32
Marty_Mornhinweg,0,31
Marwan_Barghouthi,0,30
Mary-Kate_Olsen,1,28
Mary_Carey,0,29
Mary_Landrieu,0,32
Mary_Steenburgen,0,31
Mary_Tyler_Moore,0,30
Masahiko_Nagasawa,0,30
Masum_Turker,1,25
Mathias_Reichhold,1,28
Matt_Damon,0,29
Matt_Dillon,0,31
Matt_Doherty,1,27
Matthew_Broderick,0,32
Maureen_Fanning,0,29
Max_Mayfield,1,23
Megan_Mullally,0,31
Meghann_Shaughnessy,0,29
Mel_Brooks,0,30
Mel_Gibson,0,29
Melanie_Griffith,0,29
Melissa_Etheridge,0,29
Mesut_Yilmaz,0,32
Mian_Khursheed_Mehmood_Kasuri,0,29
Michael_Ballack,0,30
Michael_Caine,0,32
Michael_Capellas,0,32
Michael_J_Sheehan,1,28
Michael_Jackson,0,29
