env_type,env_id,device_did,collision,re_register,ok
docker,60f97fce97a7f283c9ff6460edc311d9295b70f69580fa61fb68de4c60168bef,didsm9:60f97fce97a7f283c9ff6460edc311d9295b70f69580fa61fb68de4c60168bef@didsm9:user1:aaa:f04539c35c952c5365595b29b9b4c23a59df9e87c9dc91adea23d3dce64960e4,0,1,1
docker,fb4baa4e274e7b2c64cf6ba022bb20a6d0ea94a59185ff611d158e138e50c3f6,didsm9:fb4baa4e274e7b2c64cf6ba022bb20a6d0ea94a59185ff611d158e138e50c3f6@didsm9:user1:aaa:39ffbe99d9db1c50ab00d4d7c82151f22bf5314c38c2d1dc571f05b801e473e4,0,1,1
docker,3c8610c047b5fbe0b0bec5db61b1c2b13d0d57a4de9b31525988aa91b8e0fa8a,didsm9:3c8610c047b5fbe0b0bec5db61b1c2b13d0d57a4de9b31525988aa91b8e0fa8a@didsm9:user1:aaa:275ede5a83577d939b35fdd1eb002deab511fb58d3a91e0c5d1831ef7144005d,0,1,1
docker,b1a5ed7f0f1a50e7f370ac85d091b8d2de9686004ed2d5f50041782e9fbcd59f,didsm9:b1a5ed7f0f1a50e7f370ac85d091b8d2de9686004ed2d5f50041782e9fbcd59f@didsm9:user1:aaa:21410574bd0f29de3484d21a99425b7e190e92a979eb9d0a1bc7742cac4b929f,0,1,1
linux,da5988a2a112ca1ea696ea95469a4105,didsm9:da5988a2a112ca1ea696ea95469a4105@didsm9:user1:aaa:f4e2fc3a1251b391dfac26d0a5fb210367b758c7b3be4073fc590ba222d2f221,0,1,1
linux,fda916824fe26d9d9b11c48189393022,didsm9:fda916824fe26d9d9b11c48189393022@didsm9:user1:aaa:3c779855b2388b6a51e7b2766f3375b3c85e0437d2f3efe1575a6480b10f670e,0,1,1
linux,ad47664c364003c6d5229eb554c37183,didsm9:ad47664c364003c6d5229eb554c37183@didsm9:user1:aaa:bed42b2bc70822dfc19c9e3c7ced05390ac110620e185c5724ecadc1fb9e821d,0,1,1
linux,3c4a3c1e29208d46fd855394e02c074c,didsm9:3c4a3c1e29208d46fd855394e02c074c@didsm9:user1:aaa:2921ba85009e986c1092618e381a3373271daea421228492ceae46b6d5e83e26,0,1,1
linux,78265461879a8f62aec24587bb2ed295,didsm9:78265461879a8f62aec24587bb2ed295@didsm9:user1:aaa:f86b8f89de2fc57d207f732d6b3e5c393dc2881b3620b69f01c8ceb49d585e8a,0,1,1
linux,ba7f44e4fbc82c14c971f9d26e5ee478,didsm9:ba7f44e4fbc82c14c971f9d26e5ee478@didsm9:user1:aaa:20e971854c729cec3cc0a57ec0dc0724d1375d530c62f50add3f7247ac7575bf,0,1,1
linux,8cb203a82bbe1594e3243dcffde3677d,didsm9:8cb203a82bbe1594e3243dcffde3677d@didsm9:user1:aaa:fd958dbbdf982eccbda8ecfd4d0127daaa702079e5b66f1bb35c409f3901ce1b,0,1,1
linux,4fc14d8d468e51157099423b6fd20562,didsm9:4fc14d8d468e51157099423b6fd20562@didsm9:user1:aaa:40f623bbc8dc0abd71b386b4468283ac6355f78168d2d16bf889d818b64eecdb,0,1,1
linux,bec5b850371b0b607eddcb4c11737444,didsm9:bec5b850371b0b607eddcb4c11737444@didsm9:user1:aaa:9b8ce9685dd0cb0c880a42d260c192a11eb7e18973aa1c9402a0f1d9d12e5a40,0,1,1
linux,a38aa170f24a24881ce5d4e812fc25fd,didsm9:a38aa170f24a24881ce5d4e812fc25fd@didsm9:user1:aaa:8c28175aed09b32b1e0a5ac0cba6e7add3c1045e1ffda326b5f186ff004ea9ea,0,1,1
linux,ea6871240f3d6fd001f377f1a9cfca7d,didsm9:ea6871240f3d6fd001f377f1a9cfca7d@didsm9:user1:aaa:25678a3771c05ab715dd354f35d708c592031849fddb87dece42b2ce7e84d78d,0,1,1
linux,558da69264068a47d8ef1636b7da9424,didsm9:558da69264068a47d8ef1636b7da9424@didsm9:user1:aaa:7927a2f4e926f5f6d76072208744f000748189b1cf4e830e9af56f57010c9042,0,1,1
linux,5c510bce6c89a78a9d4406e104d8626b,didsm9:5c510bce6c89a78a9d4406e104d8626b@didsm9:user1:aaa:78f918bfc3d5dde2c69c540a89d9ec587ab0865d914d5d9181a8018ae89291c1,0,1,1
linux,320f56b0c24a63ee74af20525f8c7a6c,didsm9:320f56b0c24a63ee74af20525f8c7a6c@didsm9:user1:aaa:d39f321571256c2d9da87303ced84b4aa86d5088d3c0a2dc16d93f6df4bd4398,0,1,1
linux,4e2bf0e695fcbee9b4033cd3ffda7da8,didsm9:4e2bf0e695fcbee9b4033cd3ffda7da8@didsm9:user1:aaa:76307fd014f1ddd16a601f2a6f7f11fd1589fdf5f45aec132cadeafc87dbc41b,0,1,1
linux,7a7c4834206f7568bf2b7c5884d767b9,didsm9:7a7c4834206f7568bf2b7c5884d767b9@didsm9:user1:aaa:5f9613e4a67875fbc219e5f857b50745bae7f199547e31bed089cc402f0f914e,0,1,1
linux,08a8fff6d4c15cc8afcfac6d32f1127d,didsm9:08a8fff6d4c15cc8afcfac6d32f1127d@didsm9:user1:aaa:a278554baf87712978f3540e05a2d0fd4064ce373832ff3383b5740f85ac616e,0,1,1
linux,ffa19e57bd35aabd6f3269cdb29c4c99,didsm9:ffa19e57bd35aabd6f3269cdb29c4c99@didsm9:user1:aaa:75c064d784a30cbc53811c5d14757a55ac850e702da08431c162187de413242c,0,1,1
linux,8af0365d742c1258821e5b55419b7409,didsm9:8af0365d742c1258821e5b55419b7409@didsm9:user1:aaa:4163fa5cff90c7b0d59ce6a80d96354e6660e3c3fe8c6da6dc451cd46f021ed2,0,1,1
linux,70a4ca60157154e8eec28b420cdf3519,didsm9:70a4ca60157154e8eec28b420cdf3519@didsm9:user1:aaa:11ed2b1d0baa5680f49d2d5b646f49203433daf0459023a240c96821aae762ed,0,1,1
linux,0c968c6af08e3e77c252ceea9826997f,didsm9:0c968c6af08e3e77c252ceea9826997f@didsm9:user1:aaa:232707aac8b7c7b1308a095d87c422e347b327fa3cbbf4a2a7ddb89bcf66d5d0,0,1,1
linux,f0e3b46643a2069ee76719088a42ed9c,didsm9:f0e3b46643a2069ee76719088a42ed9c@didsm9:user1:aaa:a3e54e65e8782598b2b9f95cbe3e82089d6a0fa84c40605d58f840b70bab0e34,0,1,1
linux,67e465497475866bd305192a5b5d2999,didsm9:67e465497475866bd305192a5b5d2999@didsm9:user1:aaa:2b6a50780c0ceb1c4be7947acc3d48a1f5873b614699cae7dea948576dae0be7,0,1,1
linux,355f54ff82cacf14992a2c00b9172687,didsm9:355f54ff82cacf14992a2c00b9172687@didsm9:user1:aaa:b346c86db29e71b27d947aa69f3ea05138beb48a7f57798987f2ac5518da5e92,0,1,1
linux,860f116a11049994a1d043ef994de28f,didsm9:860f116a11049994a1d043ef994de28f@didsm9:user1:aaa:c69a2f200850a16624d00b9a41801a2d574f8cc4a898eb14f60fe2e21b271600,0,1,1
linux,877fed351324398bab67f2edf1f55c77,didsm9:877fed351324398bab67f2edf1f55c77@didsm9:user1:aaa:d1943767f5b571e6228a6b4507b79294a9e068031719dc4137fcb9ab07fbd426,0,1,1
linux,2fcbba249d0e503561ca0edfb083c9ca,didsm9:2fcbba249d0e503561ca0edfb083c9ca@didsm9:user1:aaa:fba539ef98bbe05ced52c363709a21394ac6bdbfad35596e07e25de6c5ff22e5,0,1,1
linux,bed10917c5203c4655897f0ad55a0434,didsm9:bed10917c5203c4655897f0ad55a0434@didsm9:user1:aaa:b6eb944489674e68c99a2566d2df0aa6080b08812858bf07962cfd68abd6bbfc,0,1,1
linux,cffcdfb4c710ff5b09c19ba65e112a44,didsm9:cffcdfb4c710ff5b09c19ba65e112a44@didsm9:user1:aaa:cd1c3b66a85916e2eaa2f5dc438e81d572bcf19096665cc5c6ff9a9efb8308d9,0,1,1
linux,961ee369e5c20dfc649459aecaa62922,didsm9:961ee369e5c20dfc649459aecaa62922@didsm9:user1:aaa:4e21f7f187a007fa28b1b5a519ad35ca7ef80a7d68dc79c94b43485e741469b6,0,1,1
linux,f9bd89b16f462f6a2071e5581bd601c4,didsm9:f9bd89b16f462f6a2071e5581bd601c4@didsm9:user1:aaa:4106c90e2cd728d1b6fc9730e9ecd129592a24ac3d3e0363e207a1a95566433e,0,1,1
linux,4ce1e4c85d99a2ca64e6f2d3287861a0,didsm9:4ce1e4c85d99a2ca64e6f2d3287861a0@didsm9:user1:aaa:f29035bd52e20c893e13f73011d2b84d11cf549340219e38772a405b72e79604,0,1,1
linux,588f9eedb3740a961793d5c994dde90e,didsm9:588f9eedb3740a961793d5c994dde90e@didsm9:user1:aaa:c3c82e3558d5fe9e93ed27ca763be0cb7394f453840dd1c1b8557b9514c2f612,0,1,1
linux,4ca45680e30a686f3a9a7f2b2222e033,didsm9:4ca45680e30a686f3a9a7f2b2222e033@didsm9:user1:aaa:61f0054616fcfe8b99792ebdb70a227224b56a12b1c2cba0919601bb5c0e73d4,0,1,1
linux,ae86996e5484650241b177e2d3baace4,didsm9:ae86996e5484650241b177e2d3baace4@didsm9:user1:aaa:0aeedacd8ec2dc2914a98706f9db031187cb46fbfc908e3a7647023558ec3867,0,1,1
linux,1c2572cd4aa3ef7cc35a8df4ff00a9b8,didsm9:1c2572cd4aa3ef7cc35a8df4ff00a9b8@didsm9:user1:aaa:aa41e1fef59b5ba3d1fc7d3d7d03ad0131dcc4b518d24f87c2c2173e76bb5e1e,0,1,1
linux,8a9bf362f157b96517a8e10b45a4f115,didsm9:8a9bf362f157b96517a8e10b45a4f115@didsm9:user1:aaa:0e38f0b32af9d3facfcf9cfeae484c269703184075dffdc8f319800ad8f817e1,0,1,1
linux,07a009de77446112c38f10274f9f96ad,didsm9:07a009de77446112c38f10274f9f96ad@didsm9:user1:aaa:6a66654c1a57f84323cf9a6774a2c1a5fa29c4bbcf6beb2a0315f39707e426fc,0,1,1
linux,c46932bec30ce6d78d3af617deb785bb,didsm9:c46932bec30ce6d78d3af617deb785bb@didsm9:user1:aaa:367636da5147ab4f6e800fb9fed42b1f9e8d30ca0e6d5bf405ea7a6a08c2d3df,0,1,1
linux,1ef2ca4950d7d72b684c19409e866fbf,didsm9:1ef2ca4950d7d72b684c19409e866fbf@didsm9:user1:aaa:7dec483bb27d7744b6b638577e587daeccd7395c63fdf5f41bccf8080ce6b373,0,1,1
linux,cb2663448dca742c72ba3f47f14ecd4a,didsm9:cb2663448dca742c72ba3f47f14ecd4a@didsm9:user1:aaa:585e97a4e43effdbe5e8f2266446f2b792877f79f38f23f09d34a58211fa84c3,0,1,1
linux,c96a0c9e96597da28cd94453cd6340df,didsm9:c96a0c9e96597da28cd94453cd6340df@didsm9:user1:aaa:59cd8441d26cf548f1a220814a7d7a38a3ca676072f46b798a308276edfbcebe,0,1,1
linux,b648d48160c71d28a43765befd23b10d,didsm9:b648d48160c71d28a43765befd23b10d@didsm9:user1:aaa:c25a39b85633702660e93cc7a8188e24f9a201f136a985b1604d934015f1c9ff,0,1,1
linux,adbcac9b1e3ffeb858b061208811bffa,didsm9:adbcac9b1e3ffeb858b061208811bffa@didsm9:user1:aaa:03e90ab48334802134e522cfa1d8170b9b00e2146cbd98b835fac8f81dcdac20,0,1,1
linux,8ebc3b81c988c4dbc96c254418fae77e,didsm9:8ebc3b81c988c4dbc96c254418fae77e@didsm9:user1:aaa:59a141731622dee1517a007d15b8496cebd7e8c0e78de774868b4fed1e99e0f0,0,1,1
linux,086df3bf2ab930161b2fcb0d2f7ac7fb,didsm9:086df3bf2ab930161b2fcb0d2f7ac7fb@didsm9:user1:aaa:50871ed159c5bdfb0fb9bdeff2448bc2bb8f704d7a952e3d4f5ec459f380ea15,0,1,1
linux,8d36b3d5d60bc93ec57a9c7538cf7eff,didsm9:8d36b3d5d60bc93ec57a9c7538cf7eff@didsm9:user1:aaa:f73a42dba0bcb24495a746d477c1b4478e41de51d94ae2330f76c96eab7ae325,0,1,1
linux,33f326a9a9288f4cb54d3355aac61ace,didsm9:33f326a9a9288f4cb54d3355aac61ace@didsm9:user1:aaa:45e33cba5f2b4f44f3d2f76eaef3717cd0c5cfbb55eaff942d4cb04467cc4e43,0,1,1
linux,4c88f16309b6a174b745bc77d60bb80e,didsm9:4c88f16309b6a174b745bc77d60bb80e@didsm9:user1:aaa:8215b5c927fd1f0294fe3c4a153e216a32d28c39891cb9dae8deb2e260b3196d,0,1,1
linux,ff98a8cff67f55469af69a93a7a56683,didsm9:ff98a8cff67f55469af69a93a7a56683@didsm9:user1:aaa:27c08b76c667578060ed22d6f3111bac9f6b4daae2dbc9ea1741c08f6f8990c1,0,1,1
windows,A952B65141A35532EA5048CA2FA1684B0E9B,didsm9:A952B65141A35532EA5048CA2FA1684B0E9B@didsm9:user1:aaa:a17954595d2a9c0de6521658cedbbdad2b6be5b51abd6a4ff3d34329e38d1a1a,0,1,1
windows,A287A2FF842F6BF9EA98F2C6B73AA4DA2650,didsm9:A287A2FF842F6BF9EA98F2C6B73AA4DA2650@didsm9:user1:aaa:8c09fda31dcab8bb56d1d00c5d1df9bff8e74cc1120b13d712d9be7e309f27ed,0,1,1
windows,AD9E919CE9AC055B8C4F9324FABFF4BF9AD9,didsm9:AD9E919CE9AC055B8C4F9324FABFF4BF9AD9@didsm9:user1:aaa:1bb0bdada1f71a1cf6c06a7812d58ae711b693d98bd4bd1f1a8bf8a7649fe65d,0,1,1
windows,1705A3F2BF042B85467F508756F3BE661A2E,didsm9:1705A3F2BF042B85467F508756F3BE661A2E@didsm9:user1:aaa:b2f8fec6f0fafc6e3c137c540f0b294b513e1f78d02a983add83d14b12cfa361,0,1,1
