attack_type,attempts,blocked,block_rate,note
malicious_relay_plaintext,1,1,1.00000000,dumped=30
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
forged_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
tampered_st,1,1,1.00000000,
